date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:25:07	315/315	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2003%20Jun%202021%2013:25:07%20GMT	https://cointrana.com/robots.txt		(from )
06:25:08	59600/59600	---M-Z	200	added ('OK')	text/html	date:Thu,%2003%20Jun%202021%2013:25:07%20GMT	https://cointrana.com/	C:/WebSites/coinTrana/cointrana.com/index.html	(from )
06:25:10	29530/29530	---M--	200	added ('OK')	image/png	date:Thu,%2007%20Jan%202021%2013:23:00%20GMT	https://cointrana.com/img/logo/favicon.png	C:/WebSites/coinTrana/cointrana.com/img/logo/favicon.png	(from https://cointrana.com/)
06:25:14	4615/4615	---M--	200	added ('OK')	text/css	date:Thu,%2007%20Jan%202021%2009:57:24%20GMT	https://cointrana.com/css/owl.carousel.css	C:/WebSites/coinTrana/cointrana.com/css/owl.carousel.css	(from https://cointrana.com/)
06:25:15	110143/110143	---M--	200	added ('OK')	text/css	date:Thu,%2007%20Jan%202021%2009:57:24%20GMT	https://cointrana.com/css/bootstrap.min.css	C:/WebSites/coinTrana/cointrana.com/css/bootstrap.min.css	(from https://cointrana.com/)
06:25:18	4476/4476	---M--	200	added ('OK')	text/css	date:Thu,%2007%20Jan%202021%2009:57:24%20GMT	https://cointrana.com/css/owl.transitions.css	C:/WebSites/coinTrana/cointrana.com/css/owl.transitions.css	(from https://cointrana.com/)
06:25:21	55413/55413	---M--	200	added ('OK')	text/css	date:Thu,%2007%20Jan%202021%2009:57:24%20GMT	https://cointrana.com/css/animate.css	C:/WebSites/coinTrana/cointrana.com/css/animate.css	(from https://cointrana.com/)
06:25:23	2806/2806	---M--	200	added ('OK')	text/css	date:Thu,%2007%20Jan%202021%2009:57:24%20GMT	https://cointrana.com/css/meanmenu.min.css	C:/WebSites/coinTrana/cointrana.com/css/meanmenu.min.css	(from https://cointrana.com/)
06:25:34	27490/27490	---M--	200	added ('OK')	text/css	date:Thu,%2007%20Jan%202021%2009:57:24%20GMT	https://cointrana.com/css/font-awesome.min.css	C:/WebSites/coinTrana/cointrana.com/css/font-awesome.min.css	(from https://cointrana.com/)
06:25:36	16407/16407	---M--	200	added ('OK')	text/css	date:Thu,%2007%20Jan%202021%2009:57:24%20GMT	https://cointrana.com/css/themify-icons.css	C:/WebSites/coinTrana/cointrana.com/css/themify-icons.css	(from https://cointrana.com/)
06:25:40	3061/3061	---M--	200	added ('OK')	text/css	date:Thu,%2007%20Jan%202021%2009:57:24%20GMT	https://cointrana.com/css/flaticon.css	C:/WebSites/coinTrana/cointrana.com/css/flaticon.css	(from https://cointrana.com/)
06:25:43	5919/5919	---M--	200	added ('OK')	text/css	date:Thu,%2007%20Jan%202021%2009:57:24%20GMT	https://cointrana.com/css/magnific.min.css	C:/WebSites/coinTrana/cointrana.com/css/magnific.min.css	(from https://cointrana.com/)
06:25:48	57657/57657	---M--	200	added ('OK')	text/css	date:Fri,%2008%20Jan%202021%2015:47:44%20GMT	https://cointrana.com/style.css	C:/WebSites/coinTrana/cointrana.com/style.css	(from https://cointrana.com/)
06:25:49	7113/7113	---M--	200	added ('OK')	text/css	date:Thu,%2007%20Jan%202021%2009:57:24%20GMT	https://cointrana.com/css/responsive.css	C:/WebSites/coinTrana/cointrana.com/css/responsive.css	(from https://cointrana.com/)
06:25:54	15514/15514	---M--	200	added ('OK')	application/javascript	date:Thu,%2007%20Jan%202021%2009:57:24%20GMT	https://cointrana.com/js/vendor/modernizr-2.8.3.min.js	C:/WebSites/coinTrana/cointrana.com/js/vendor/modernizr-2.8.3.min.js	(from https://cointrana.com/)
06:25:57	10514/10514	---M--	200	added ('OK')	text/javascript	etag:%2286c3c9bdbbeca96e36a3b8390f173075%22	https://s3.tradingview.com/external-embedding/embed-widget-ticker-tape.js	C:/WebSites/coinTrana/s3.tradingview.com/external-embedding/embed-widget-ticker-tape.js	(from https://cointrana.com/)
06:26:04	59600/59600	---M-Z	200	added ('OK')	text/html	date:Thu,%2003%20Jun%202021%2013:26:02%20GMT	https://cointrana.com/index.php	C:/WebSites/coinTrana/cointrana.com/index-2.html	(from https://cointrana.com/)
06:26:12	236/236	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2003%20Jun%202021%2013:26:11%20GMT	https://cointrana.com/login	C:/WebSites/coinTrana/cointrana.com/login.11.delayed	(from https://cointrana.com/)
06:26:12	46623/46623	---M--	200	added ('OK')	image/png	date:Thu,%2007%20Jan%202021%2013:21:42%20GMT	https://cointrana.com/img/logo/cointranablacklogo.png	C:/WebSites/coinTrana/cointrana.com/img/logo/cointranablacklogo.png	(from https://cointrana.com/)
06:26:15	237/237	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2003%20Jun%202021%2013:26:14%20GMT	https://cointrana.com/signup	C:/WebSites/coinTrana/cointrana.com/signup.12.delayed	(from https://cointrana.com/)
06:26:16	46508/46508	---M--	200	added ('OK')	image/png	date:Thu,%2007%20Jan%202021%2013:22:08%20GMT	https://cointrana.com/img/logo/cointranawhitelogo.png	C:/WebSites/coinTrana/cointrana.com/img/logo/cointranawhitelogo.png	(from https://cointrana.com/)
06:26:18	4825/4825	---M-Z	200	added ('OK')	text/html	date:Thu,%2003%20Jun%202021%2013:26:16%20GMT	https://cointrana.com/login/	C:/WebSites/coinTrana/cointrana.com/login/index.html	(from https://cointrana.com/)
06:26:19	42237/42237	---M-Z	200	added ('OK')	text/html	date:Thu,%2003%20Jun%202021%2013:26:17%20GMT	https://cointrana.com/aboutus.php	C:/WebSites/coinTrana/cointrana.com/aboutus.html	(from https://cointrana.com/)
06:26:20	2517/2517	---M-Z	200	added ('OK')	text/html	date:Thu,%2003%20Jun%202021%2013:26:20%20GMT	https://cointrana.com/signup/	C:/WebSites/coinTrana/cointrana.com/signup/index.html	(from https://cointrana.com/)
06:26:21	28750/28750	---M-Z	200	added ('OK')	text/html	date:Thu,%2003%20Jun%202021%2013:26:21%20GMT	https://cointrana.com/contactus.php	C:/WebSites/coinTrana/cointrana.com/contactus.html	(from https://cointrana.com/)
06:26:26	95/95	---M--	200	added ('OK')	image/png	etag:%223950a-5f-56ce71dc13b46%22	http://gtranslate.net/flags/blank.png	C:/WebSites/coinTrana/gtranslate.net/flags/blank.png	(from https://cointrana.com/)
06:26:27	26031/26031	---M--	200	added ('OK')	image/png	etag:%2239513-65af-56ce71dc3d9b2%22	http://gtranslate.net/flags/16.png	C:/WebSites/coinTrana/gtranslate.net/flags/16.png	(from https://cointrana.com/)
06:26:28	25994/25994	---M--	200	added ('OK')	image/png	etag:%2239512-658a-56ce71dc38e3a%22	http://gtranslate.net/flags/16a.png	C:/WebSites/coinTrana/gtranslate.net/flags/16a.png	(from https://cointrana.com/)
06:26:28	2171/2171	---MCZ	403	error ('Forbidden')	text/html	date:Thu,%2003%20Jun%202021%2013:26:27%20GMT	https://translate.google.com/translate_a/element.js?cb=googleTranslateElementInit2	C:/WebSites/coinTrana/translate.google.com/translate_a/element.187876.delayed	(from https://cointrana.com/)
